country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","22-09-2026 22:00:00",25.0328,85.41948,OZONE,7,29,13
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","22-09-2026 22:00:00",25.892357,86.590325,CO,33,35,34
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","22-09-2026 22:00:00",25.859655,85.77944,SO2,12,13,13
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","22-09-2026 22:00:00",24.952822,84.002396,SO2,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","22-09-2026 22:00:00",26.2271665,84.3570427,OZONE,6,7,7
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","22-09-2026 22:00:00",30.735567,76.775714,CO,35,45,39
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","22-09-2026 22:00:00",21.185571,81.343175,PM2.5,5,37,16
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","22-09-2026 22:00:00",21.185571,81.343175,PM10,21,48,29
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","22-09-2026 22:00:00",21.185571,81.343175,NO2,15,16,16
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","22-09-2026 22:00:00",21.194815,81.31477,CO,11,19,14
India,Bihar,Patna,"Samanpura, Patna - BSPCB","22-09-2026 22:00:00",25.596727,85.085624,SO2,3,9,3
India,Bihar,Patna,"Samanpura, Patna - BSPCB","22-09-2026 22:00:00",25.596727,85.085624,CO,21,81,30
India,Bihar,Patna,"Muradpur, Patna - BSPCB","22-09-2026 22:00:00",25.619651,85.147382,CO,47,53,50
India,Bihar,Patna,"Muradpur, Patna - BSPCB","22-09-2026 22:00:00",25.619651,85.147382,OZONE,21,94,64
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","22-09-2026 22:00:00",25.586562,85.043586,NH3,8,16,10
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","22-09-2026 22:00:00",25.586562,85.043586,SO2,5,9,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","22-09-2026 22:00:00",26.0881305,87.93840336,OZONE,32,33,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","22-09-2026 22:00:00",27.308328,84.531742,PM2.5,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","22-09-2026 22:00:00",26.63086,84.90051,SO2,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","22-09-2026 22:00:00",26.63086,84.90051,CO,12,16,14
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","22-09-2026 22:00:00",25.610369,85.132568,OZONE,36,45,40
